t,x,x_dot,theta,theta_dot,u
10.1,-0.2129847014435829,0.018442602540876197,0.02115911418893335,-0.008554000951330664,0.14889963674651963
10.11,-0.2127895932167095,0.020579609297109752,0.021072520482426815,-0.008771350374196785,0.14828657209234808
10.120000000000001,-0.21257316061935602,0.022707490793546444,0.020983762775530466,-0.008986966212818186,0.14765819630878552
10.13,-0.21233549596956308,0.024826033828136525,0.02089285842583838,-0.009200842791585343,0.1470149303908883
10.14,-0.21207669374696464,0.026935019283059167,0.020799824974746365,-0.00941294901171662,0.14635651274877182
10.15,-0.21179685058730569,0.02903423505247846,0.02070468018664504,-0.009623271356020147,0.14568332876371737
10.16,-0.21149606524122364,0.031123470262799803,0.02060744196971561,-0.009831794572592407,0.14499547510700816
10.17,-0.21117443858162,0.03320251133332207,0.020508128459172475,-0.010038488489361038,0.1442928517918527
10.18,-0.21083207357018258,0.035271154086331066,0.020406757965076433,-0.01024334829578683,0.14357596489893776
10.19,-0.21046907522781702,0.03732919085508832,0.020303348933750975,-0.010446351539460852,0.1428446760337292
10.200000000000001,-0.2100855506491099,0.039376414568550566,0.020197920056425643,-0.010647471672885747,0.14209905146914104
10.21,-0.20968160895025362,0.04141262797571466,0.02009049015687251,-0.010846708724954692,0.1413396191905677
10.22,-0.2092573612503853,0.04343762773778791,0.01998107819086226,-0.011044036256962713,0.14056611183392398
10.23,-0.20881292067479879,0.045451215960880635,0.019869703318967737,-0.011239439731557811,0.13977883915709843
10.24,-0.20834840232363463,0.047453195568459144,0.019756384864955925,-0.011432901034810147,0.13897787983822196
10.25,-0.20786392326525344,0.04944336999172293,0.019641142356996284,-0.0116243973845502,0.13816329743074762
10.26,-0.20735960249453148,0.05142155049549194,0.01952399545260313,-0.01181392568412039,0.13733552220570422
10.27,-0.20683556090893104,0.05338754529698718,0.019404963923253738,-0.012001466228882091,0.13649444046723236
10.28,-0.20629192131128368,0.055341165103914285,0.01928406772842813,-0.012187001108577095,0.1356402157928287
10.290000000000001,-0.2057288083771279,0.0572822246662249,0.019161326972102277,-0.012370519323253613,0.13477308969306345
10.3,-0.20514634864486042,0.05921053666116679,0.019036761935764205,-0.012551996356898692,0.13389299816744915
10.31,-0.20454467047788039,0.06112592341024072,0.018910393018644743,-0.01273143316800105,0.1330004635016857
10.32,-0.20392390404581887,0.06302820134475841,0.01878224074195566,-0.012908804392559125,0.13209523129569878
10.33,-0.20328418132932555,0.06491719182833647,0.018652325832056837,-0.013084094349303979,0.13117758873211727
10.34,-0.20262563607061554,0.06679272118357397,0.018520669123476514,-0.013257297077591676,0.13024782463269813
10.35,-0.2019484037492329,0.06865461562145779,0.018387291546347617,-0.013428399409830236,0.12930597442495217
10.36,-0.2012526215849075,0.07050270089269338,0.018252214204475762,-0.013597379765818034,0.12835205636280156
10.370000000000001,-0.2005384285083242,0.07233680905463168,0.01811545834700391,-0.01376423064721075,0.12738642744081596
10.38,-0.19980596511876894,0.07415677432922642,0.017977045296802614,-0.013928944801214056,0.1264092377136885
10.39,-0.19905537367649248,0.07596243030077524,0.017836996494837585,-0.014091505852577253,0.1254204972769557
10.4,-0.19828679809182745,0.07775361336762443,0.017695333534098058,-0.014251899760250026,0.12442038911687714
10.41,-0.19750038390083094,0.07953016198560067,0.017552078149101796,-0.014410112248782305,0.12340905866878604
10.42,-0.1966962782276275,0.08129192008481599,0.01740725216152334,-0.014566140155630913,0.12238682247059918
10.43,-0.19587462977048967,0.08303872890482503,0.0172608775052399,-0.01471996419423835,0.12135358891742809
10.44,-0.1950355887762948,0.08477043748446952,0.01711297621299178,-0.014871583871018196,0.12030979122328145
10.450000000000001,-0.19417930701526623,0.08648689211513405,0.016963570404312574,-0.015020982314269488,0.11925533532457933
10.46,-0.19330593776548982,0.08818794493222935,0.01681268230632922,-0.015168154868830042,0.11819055701898906
10.47,-0.19241563579139284,0.08987344653135272,0.016660334254784383,-0.01531308445842552,0.11711542303966849
10.48,-0.19150855732307348,0.09154325318197683,0.016506548698247754,-0.015455765585329701,0.11603026110040526
10.49,-0.19058486002531075,0.09319722167792562,0.016351348168290685,-0.015596187140605716,0.11493514157193274
10.5,-0.18964470297542424,0.09483521271671908,0.016194755279433554,-0.015734343637067365,0.11383030399041749
10.51,-0.18868824664625863,0.09645708649515884,0.016036792746447273,-0.015870220504143752,0.11271576780187464
10.52,-0.1877156528745705,0.09806271003360788,0.01587748335331437,-0.016003818464820897,0.11159191890912634
10.53,-0.18672708484086756,0.09965194756097882,0.01571684996059421,-0.016135121474895788,0.11045866250353431
10.540000000000001,-0.18572270705679148,0.10122466862084817,0.015554915538185545,-0.016264123702366365,0.10931630934881542
10.55,-0.18470268533325743,0.10278074381442578,0.015391703134290611,-0.01639081531256677,0.1081649574946103
10.56,-0.18366718674906163,0.10432004896397501,0.015227235846192786,-0.016515196320205542,0.10700491332741946
10.57,-0.18261637963000388,0.10584245884614654,0.015061536826247873,-0.01663725569188639,0.10583616993682954
10.58,-0.18155043354152475,0.10734785075544721,0.014894629333108556,-0.01675698319352551,0.10465889877932644
10.59,-0.18046951924756527,0.10883610769697809,0.014726536670685238,-0.01687438000422721,0.10347343112634988
10.6,-0.17937380868701844,0.11030711167496135,0.014557282185900662,-0.01698943633913734,0.10227976269381622
10.61,-0.17826347496517508,0.11176074740500806,0.014386889316572211,-0.017102143797254287,0.10107807497786858
10.620000000000001,-0.17713869231251314,0.11319690513389886,0.014215381530715498,-0.017212504737646954,0.09986869060727332
10.63,-0.17599963606517063,0.114615473482553,0.014042782338235662,-0.01732050842014307,0.09865157435941074
10.64,-0.17484648266004219,0.11601634367806116,0.01386911535150629,-0.017426145083414436,0.09742690279441457
10.65,-0.17367940959238756,0.11739941282004612,0.013694404221299947,-0.017529416806081236,0.09619501595678304
10.66,-0.17249859538172163,0.11876457895786326,0.013518672600450431,-0.017630321097125472,0.09495600774245838
10.67,-0.17130421956571965,0.12011174040967848,0.013341944200920913,-0.017728848617181145,0.09370993805410843
10.68,-0.17009646267076867,0.12144080111471801,0.013164242773202214,-0.017825000997161625,0.09245713454964133
10.69,-0.16887550618112726,0.12275166555936465,0.012985592081194989,-0.017918773923167746,0.09119767119469613
10.700000000000001,-0.1676415325253035,0.12404424040703475,0.01280601593453795,-0.018010162558004944,0.08993170352014268
10.71,-0.1663947250550929,0.12531843433647225,0.012625538196611996,-0.01809916098633667,0.08865937906610344
10.72,-0.16513526801392822,0.12657416034130073,0.012444182757083946,-0.01818576986432334,0.08738096044691779
10.73,-0.1638633465068078,0.12781133311476567,0.012261973509795762,-0.018269987700464046,0.08609657951923588
10.74,-0.16257914648036756,0.12902986963600274,0.01207893436448423,-0.018351812806091015,0.08480639747636887
10.75,-0.1612828547023088,0.1302296887126127,0.01189508925640272,-0.018431241764614817,0.08351055267559859
10.76,-0.15997465873496836,0.1314107126098008,0.011710462136493696,-0.018508274853619524,0.0822092649835584
10.77,-0.15865474691158593,0.13257286488167833,0.011525076970603603,-0.018582908813593754,0.08090264584230755
10.78,-0.15732330831416427,0.13371607222141027,0.011338957744053798,-0.018655143007589848,0.07959089924874285
10.790000000000001,-0.15598053274434928,0.13484026400718635,0.011152128443001966,-0.01872497790523509,0.07827420651274297
10.8,-0.1546266106884388,0.13594537393066694,0.010964613016228208,-0.018792420515283695,0.07695283034177991
10.81,-0.15326173330742682,0.13703133336091933,0.010776435420265266,-0.01885746227786038,0.07562670155721285
10.82,-0.15188609243348247,0.13809807669335492,0.010587619686006529,-0.018920096875044326,0.07429601854937645
10.83,-0.15049988051403623,0.13914554648051322,0.010398189810874875,-0.018980337321432075,0.072961236325228
10.84,-0.14910329058424665,0.14017368262454638,0.01020816974550165,-0.019038179964302796,0.07162226935210203
10.85,-0.14769651625481992,0.14118243011383236,0.010017583431437655,-0.019093630273191498,0.07027941893147799
10.86,-0.1462797516928459,0.1421717326832161,0.009826454815549236,-0.01914668171504954,0.06893266932400444
10.870000000000001,-0.14485319160161717,0.14314153935721793,0.009634807861038533,-0.019197337554531575,0.0675823320198295
10.88,-0.14341703118193047,0.14409180161068386,0.00944266649677715,-0.019245601395717155,0.06622857650103547
10.89,-0.1419714661091134,0.145022473062833,0.009250054618953138,-0.019291476173738387,0.06487155688288182
10.9,-0.14051669251088145,0.14593350961703908,0.00905699609537906,-0.019334964630732778,0.06351143420966837
10.91,-0.13905290694528638,0.14682486930283048,0.008863514770009136,-0.019376068798058376,0.06214836157219983
10.92,-0.13758030637689278,0.14769651278828755,0.008669634461469245,-0.019414791711964096,0.06078251763539888
10.93,-0.13609908814969002,0.1485484035206109,0.00847537895061824,-0.01945113789249635,0.05941408803048104
10.94,-0.13460944995934288,0.1493805077178599,0.008280771965778571,-0.01948511333090433,0.05804325788574799
10.950000000000001,-0.13311158984191823,0.15019279108163802,0.008085837222726754,-0.019516714546084463,0.056670047876560437
10.96,-0.13160570614743788,0.15098522511951185,0.007890598414049765,-0.019545949658828596,0.05529479480641453
10.97,-0.13009199749899836,0.15175778370950127,0.007695079150302563,-0.01957282696101384,0.053917663575285435
10.98,-0.12857066278864684,0.15251043918358112,0.007499303023445355,-0.019597341881133046,0.05253862313287827
10.99,-0.12704190115212258,0.15324317047152627,0.0073032935997536545,-0.01961950412960094,0.05115804963106779
11.0,-0.1255059119334554,0.15395595698588344,0.007107074378824838,-0.019639317336722396,0.04977601333814241
11.01,-0.12396289466230356,0.1546487821888407,0.006910668794840204,-0.01965679096040667,0.04839276275890442
11.02,-0.12241304903229792,0.15532162982409928,0.0067141002209667126,-0.01967192775027043,0.04700835784258822
11.03,-0.12085657488282202,0.1559744869977137,0.006517391985014419,-0.01968473403154436,0.04562301249536255
11.040000000000001,-0.11929367216859056,0.15660734353785127,0.006320567344262146,-0.019695217590631336,0.044236908492767624
11.05,-0.11772454094271581,0.15722018993717304,0.00612364950502209,-0.019703380838344917,0.04285012459675347
11.06,-0.11614938133092119,0.15781302118118257,0.005926661612520419,-0.019709233585745056,0.04146293090018016
11.07,-0.1145683935013616,0.1583858337986421,0.005729626725928943,-0.019712783239212557,0.04007544985333966
11.08,-0.11298177765016837,0.1589386256658874,0.005532567845543222,-0.01971403417211244,0.03868779397862532
11.09,-0.11138973398018757,0.1594713975639933,0.005335507917072749,-0.019712992932461697,0.03730015355455257
11.1,-0.10979246266918859,0.15998415372778219,0.00513846980064379,-0.019709670095423716,0.03591274617532769
11.11,-0.10819016384596811,0.16047689971755977,0.004941476265846419,-0.01970407319998405,0.03452568283597501
11.120000000000001,-0.10658303757621052,0.16094964259589828,0.004744550019014436,-0.019696207363241465,0.033139083220758814
11.13,-0.10497128382831933,0.1614023947570687,0.004547713663517554,-0.019686088068775833,0.03175325834485265
11.14,-0.10335510245719666,0.16183516650762758,0.00435098971955845,-0.019673716472761248,0.03036814802619192
11.15,-0.10173469319033616,0.16224797302307237,0.0041544006514112235,-0.019659102609009212,0.028984039819934693
11.16,-0.10011025559034878,0.16264083210515273,0.0039579688158984955,-0.019642257942206098,0.027601108973049848
11.17,-0.098481989038975,0.16301376212678295,0.003761716482157358,-0.01962318855146362,0.02621942777479558
11.18,-0.09685009271456047,0.16336678539460664,0.00356566582932368,-0.01960190636478413,0.02483923648776981
11.19,-0.09521476556206397,0.1636999262801157,0.003369838919023299,-0.019578422965140386,0.023460681716115483
11.200000000000001,-0.09357620628212558,0.16401320927610463,0.003174257731029174,-0.019552743146382164,0.02208381268023074
11.21,-0.09193461330596825,0.16430666377380884,0.002978944151416851,-0.019524880861293153,0.02070891731245933
11.22,-0.09029018476441111,0.16458032046357987,0.0027839199407801857,-0.019494847263004208,0.01933610334354019
11.23,-0.08864311847575389,0.16483421115956784,0.002589206764957395,-0.019462650156743467,0.017965469521605715
11.24,-0.08699361192544862,0.16506837061776014,0.0023948261980643484,-0.019428300088751616,0.01659720532423381
11.25,-0.08534186223886431,0.16528283609950803,0.0022007997021983154,-0.019391808925056233,0.015231478203223403
11.26,-0.08368806616101056,0.16547764641605825,0.00200714862997833,-0.01935318670363121,0.013868407614664457
11.27,-0.08203242003092358,0.16565284395165905,0.001813894208930977,-0.01931244841453789,0.012508213951387737
